"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Ghana","147 [75-244]","147","75","244",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Saint Vincent and the Grenadines","0.83 [0.83-0.83]","0.83","0.83","0.83",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Swaziland","749 [131-1888]","749","131","1888",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Upper-middle-income","Dominica","11 [1.8-28]","11","1.8","28",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Upper-middle-income","Bulgaria","4800 [2100-8500]","4800","2100","8500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","High-income","Equatorial Guinea","0 [0-7.8]","0","0","7.8",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","San Marino","0.62 [0.25-1.2]","0.62","0.25","1.2",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","51 [24-87]","51","24","87",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Upper-middle-income","Gabon","720 [300-1300]","720","300","1300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","South-East Asia","Lower-middle-income","Thailand","18 [8.1-33]","18","8.1","33",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Congo","548 [262-938]","548","262","938",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","South-East Asia","Low-income","Myanmar","544 [420-685]","544","420","685",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Western Pacific","Lower-middle-income","China","119 [104-136]","119","104","136",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Upper-middle-income","Montenegro","28 [12-51]","28","12","51",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Western Pacific","High-income","Republic of Korea","158 [129-189]","158","129","189",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Norway","10 [4.4-19]","10","4.4","19",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Finland","9 [3.6-17]","9","3.6","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","27 [1.1-95]","27","1.1","95",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Portugal","32 [13-59]","32","13","59",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Democratic Republic of the Congo","551 [283-907]","551","283","907",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Upper-middle-income","Saint Vincent and the Grenadines","35 [12-69]","35","12","69",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","220 [90-410]","220","90","410",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","High-income","Brunei Darussalam","3 [2.9-3.2]","3","2.9","3.2",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Israel","17 [17-18]","17","17","18",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Upper-middle-income","Peru","37000 [12000-77000]","37000","12000","77000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Liberia","1900 [810-3500]","1900","810","3500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","Upper-middle-income","Kazakhstan","21 [20-23]","21","20","23",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Upper-middle-income","Lithuania","11 [11-11]","11","11","11",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Lower-middle-income","El Salvador","76 [56-100]","76","56","100",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","High-income","Trinidad and Tobago","16 [16-16]","16","16","16",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","Lower-middle-income","Solomon Islands","860 [400-1500]","860","400","1500",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","South-East Asia","Lower-middle-income","Sri Lanka","108 [52-184]","108","52","184",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Lower-middle-income","Philippines","23000 [22000-25000]","23000","22000","25000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Niger","20 [8.6-36]","20","8.6","36",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Western Pacific","High-income","Nauru","68 [20-144]","68","20","144",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Upper-middle-income","Fiji","19 [19-20]","19","19","20",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Low-income","Rwanda","1200 [530-2100]","1200","530","2100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Norway","9.5 [3.8-18]","9.5","3.8","18",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","Low-income","Gambia","455 [227-762]","455","227","762",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Western Pacific","Lower-middle-income","China","104 [91-119]","104","91","119",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Western Pacific","Low-income","Lao People's Democratic Republic","820 [510-1200]","820","510","1200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Eastern Mediterranean","High-income","United Arab Emirates","0.27 [0-1.9]","0.27","0","1.9",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Lower-middle-income","Turkmenistan","13000 [6200-22000]","13000","6200","22000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Lower-middle-income","Belize","14 [14-14]","14","14","14",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Upper-middle-income","Gabon","900 [380-1600]","900","380","1600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Mali","95 [52-151]","95","52","151",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Upper-middle-income","Chile","3700 [1500-6700]","3700","1500","6700",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Lower-middle-income","Ukraine","7400 [7300-7500]","7400","7300","7500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Saint Vincent and the Grenadines","2.6 [2.5-2.6]","2.6","2.5","2.6",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Lower-middle-income","Bolivia (Plurinational State of)","2200 [940-4100]","2200","940","4100",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Upper-middle-income","Palau","5.3 [2.1-10]","5.3","2.1","10",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","Upper-middle-income","Malaysia","5.4 [3.4-7.9]","5.4","3.4","7.9",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Malta","17 [8.6-29]","17","8.6","29",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Central African Republic","2600 [1000-4800]","2600","1000","4800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Guinea-Bissau","277 [127-484]","277","127","484",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Eritrea","280 [190-390]","280","190","390",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Lower-middle-income","Djibouti","935 [448-1596]","935","448","1596",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Lower-middle-income","Sao Tome and Principe","15 [5.8-29]","15","5.8","29",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Czech Republic","0.64 [0.63-0.64]","0.64","0.63","0.64",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Guatemala","115 [57-193]","115","57","193",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","High-income","Cook Islands","0.28 [0.13-0.47]","0.28","0.13","0.47",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Lower-middle-income","Kiribati","440 [140-890]","440","140","890",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Lithuania","5 [4.9-5]","5","4.9","5",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","52 [25-87]","52","25","87",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Low-income","Comoros","420 [210-690]","420","210","690",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Lower-middle-income","Guyana","131 [54-242]","131","54","242",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Iceland","0.31 [0.31-0.31]","0.31","0.31","0.31",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Sierra Leone","142 [54-273]","142","54","273",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","South-East Asia","Lower-middle-income","Indonesia","67000 [30000-120000]","67000","30000","120000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Chad","22 [9.1-39]","22","9.1","39",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Lower-middle-income","Guatemala","310 [280-340]","310","280","340",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Zimbabwe","433 [92-1034]","433","92","1034",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Benin","880 [390-1600]","880","390","1600",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","South-East Asia","Lower-middle-income","Bhutan","250 [100-460]","250","100","460",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Upper-middle-income","Serbia","4600 [1900-8400]","4600","1900","8400",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","Lower-middle-income","Iran (Islamic Republic of)","2300 [780-4700]","2300","780","4700",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Upper-middle-income","Bulgaria","3500 [1400-6400]","3500","1400","6400",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Western Pacific","Upper-middle-income","Tuvalu","2.9 [1.3-5.2]","2.9","1.3","5.2",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","High-income","Cook Islands","1.2 [0.36-2.6]","1.2","0.36","2.6",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Zambia","52000 [25000-87000]","52000","25000","87000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","South-East Asia","Low-income","Bangladesh","48 [19-89]","48","19","89",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Eritrea","9300 [3500-18000]","9300","3500","18000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Argentina","43 [19-78]","43","19","78",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","High-income","Qatar","74 [36-126]","74","36","126",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Lower-middle-income","Nigeria","34000 [3100-100000]","34000","3100","100000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Czech Republic","9.4 [4-17]","9.4","4","17",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Lower-middle-income","Sao Tome and Principe","260 [130-450]","260","130","450",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","South-East Asia","Lower-middle-income","Sri Lanka","3.7 [3-4.4]","3.7","3","4.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Burundi","1900 [860-3400]","1900","860","3400",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Montenegro","0.19 [0.17-0.2]","0.19","0.17","0.2",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Russian Federation","17 [17-18]","17","17","18",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","Lower-middle-income","Morocco","3000 [1500-5200]","3000","1500","5200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Uruguay","1.2 [1.2-1.3]","1.2","1.2","1.3",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Eastern Mediterranean","Low-income","Somalia","61 [24-115]","61","24","115",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Hungary","100 [100-100]","100","100","100",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Turkey","25 [12-43]","25","12","43",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Low-income","Haiti","29 [11-55]","29","11","55",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Western Pacific","High-income","Japan","2300 [2200-2300]","2300","2200","2300",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","Upper-middle-income","Poland","30 [12-56]","30","12","56",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","Spain","320 [320-330]","320","320","330",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","High-income","Bahamas","18 [8.7-30]","18","8.7","30",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Upper-middle-income","Dominica","18 [8.5-30]","18","8.5","30",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","South-East Asia","Low-income","Nepal","5400 [2400-9600]","5400","2400","9600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Lower-middle-income","Azerbaijan","479 [236-806]","479","236","806",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Estonia","36 [36-36]","36","36","36",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","High-income","Singapore","89 [75-110]","89","75","110",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Serbia","160 [150-180]","160","150","180",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","South-East Asia","Lower-middle-income","Maldives","84 [40-144]","84","40","144",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","Upper-middle-income","Tuvalu","1.2 [0.38-2.4]","1.2","0.38","2.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Andorra","0.27 [0.11-0.49]","0.27","0.11","0.49",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Czech Republic","1200 [480-2300]","1200","480","2300",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Western Pacific","Low-income","Viet Nam","256 [108-466]","256","108","466",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","High-income","New Zealand","9 [3.1-18]","9","3.1","18",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Netherlands","0.15 [0.15-0.16]","0.15","0.15","0.16",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","High-income","San Marino","0 [0-0]","0","0","0",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Guinea","27 [12-48]","27","12","48",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","Low-income","Afghanistan","37 [15-68]","37","15","68",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","Lower-middle-income","Egypt","560 [530-600]","560","530","600",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","High-income","Trinidad and Tobago","260 [96-500]","260","96","500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Western Pacific","High-income","Japan","1.8 [1.7-1.8]","1.8","1.7","1.8",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","France","310 [300-330]","310","300","330",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Angola","29 [13-52]","29","13","52",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Brazil","3 [2.7-3.2]","3","2.7","3.2",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Iceland","12 [3.9-24]","12","3.9","24",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Lower-middle-income","Georgia","11000 [5500-18000]","11000","5500","18000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","0.1 [0-0.49]","0.1","0","0.49",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Eastern Mediterranean","Lower-middle-income","Tunisia","35 [15-62]","35","15","62",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Upper-middle-income","Belarus","920 [850-980]","920","850","980",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Iceland","4.1 [1.4-8.4]","4.1","1.4","8.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Lower-middle-income","Pakistan","417 [208-697]","417","208","697",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","High-income","Antigua and Barbuda","1.5 [1.2-2]","1.5","1.2","2",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Madagascar","98000 [50000-160000]","98000","50000","160000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Suriname","66 [22-133]","66","22","133",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Croatia","32 [14-56]","32","14","56",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Panama","56 [23-105]","56","23","105",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Kenya","21 [13-32]","21","13","32",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Eastern Mediterranean","Upper-middle-income","Lebanon","50 [27-80]","50","27","80",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Upper-middle-income","Lithuania","3600 [1600-6200]","3600","1600","6200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","Lower-middle-income","Iraq","3.6 [0.26-11]","3.6","0.26","11",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","South-East Asia","Lower-middle-income","Timor-Leste","820 [350-1500]","820","350","1500",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Lower-middle-income","Papua New Guinea","39000 [14000-75000]","39000","14000","75000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Malawi","15 [4-35]","15","4","35",
"Number of prevalent tuberculosis cases ","Published","2009","Eastern Mediterranean","High-income","United Arab Emirates","480 [220-850]","480","220","850",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","Malta","16 [7.5-28]","16","7.5","28",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Mauritania","85 [32-164]","85","32","164",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Ireland","14 [5.5-25]","14","5.5","25",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Upper-middle-income","South Africa","24000 [1300-78000]","24000","1300","78000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","Mongolia","341 [171-569]","341","171","569",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Low-income","Uzbekistan","8.6 [8.1-9.1]","8.6","8.1","9.1",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Colombia","840 [830-850]","840","830","850",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Honduras","3.5 [0.23-11]","3.5","0.23","11",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Ireland","690 [300-1300]","690","300","1300",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","High-income","Oman","29 [0-280]","29","0","280",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Eastern Mediterranean","Low-income","Somalia","5200 [2100-9700]","5200","2100","9700",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","South-East Asia","Low-income","Democratic People's Republic of Korea","2500 [2400-2600]","2500","2400","2600",
"Number of prevalent tuberculosis cases ","Published","2009","Africa","Low-income","Niger","30000 [15000-51000]","30000","15000","51000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Brazil","2.6 [2.4-2.8]","2.6","2.4","2.8",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Upper-middle-income","Seychelles","63 [28-111]","63","28","111",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","Hungary","25 [11-46]","25","11","46",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","High-income","Slovakia","33 [33-33]","33","33","33",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Burkina Faso","1500 [630-2600]","1500","630","2600",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Upper-middle-income","Dominican Republic","10000 [4900-17000]","10000","4900","17000",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Senegal","30000 [15000-50000]","30000","15000","50000",
"Number of prevalent tuberculosis cases ","Published","2008","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","380 [67-960]","380","67","960",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Western Pacific","Upper-middle-income","Malaysia","101 [43-183]","101","43","183",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","High-income","Slovenia","310 [150-540]","310","150","540",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","South-East Asia","Lower-middle-income","Bhutan","110 [68-160]","110","68","160",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","Upper-middle-income","Serbia","3700 [1500-6800]","3700","1500","6800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","High-income","Oman","23 [11-40]","23","11","40",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Suriname","82 [26-169]","82","26","169",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Marshall Islands","68 [0.16-322]","68","0.16","322",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Upper-middle-income","Palau","14 [4-29]","14","4","29",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Ethiopia","23 [15-32]","23","15","32",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","South-East Asia","Lower-middle-income","Thailand","168 [76-296]","168","76","296",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Eastern Mediterranean","Lower-middle-income","Jordan","37 [0-400]","37","0","400",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Upper-middle-income","Malaysia","32000 [16000-54000]","32000","16000","54000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Low-income","Tajikistan","7.6 [5.7-9.7]","7.6","5.7","9.7",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Belgium","41 [41-42]","41","41","42",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Madagascar","47 [20-85]","47","20","85",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Low-income","Haiti","34 [13-65]","34","13","65",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","Low-income","Lao People's Democratic Republic","35000 [23000-50000]","35000","23000","50000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Gambia","43 [17-82]","43","17","82",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","South-East Asia","Lower-middle-income","Timor-Leste","666 [259-1262]","666","259","1262",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Angola","38 [17-66]","38","17","66",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Guyana","15 [13-17]","15","13","17",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Lower-middle-income","Vanuatu","28 [12-50]","28","12","50",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Papua New Guinea","54 [18-109]","54","18","109",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Upper-middle-income","Kazakhstan","266 [118-472]","266","118","472",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","High-income","Australia","45 [44-45]","45","44","45",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Upper-middle-income","Poland","700 [670-730]","700","670","730",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","High-income","Equatorial Guinea","164 [69-299]","164","69","299",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Upper-middle-income","Jamaica","6.5 [5.4-7.7]","6.5","5.4","7.7",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","High-income","Bahrain","0.76 [0.71-0.82]","0.76","0.71","0.82",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","Lower-middle-income","Sudan","22 [9.6-40]","22","9.6","40",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Lower-middle-income","Cameroon","29 [12-54]","29","12","54",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","Upper-middle-income","Mexico","40000 [19000-69000]","40000","19000","69000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Andorra","0.25 [0.12-0.42]","0.25","0.12","0.42",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Lower-middle-income","Honduras","3.1 [0.12-11]","3.1","0.12","11",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","28 [9.9-56]","28","9.9","56",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Lower-middle-income","C?te d'Ivoire","4400 [1800-8000]","4400","1800","8000",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","High-income","United States of America","17000 [7100-30000]","17000","7100","30000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","470 [210-830]","470","210","830",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Madagascar","10000 [4300-18000]","10000","4300","18000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Lower-middle-income","Bolivia (Plurinational State of)","2200 [930-4000]","2200","930","4000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Burundi","19 [8.8-33]","19","8.8","33",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Upper-middle-income","Peru","7.2 [5.5-9.2]","7.2","5.5","9.2",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Switzerland","0.27 [0.27-0.27]","0.27","0.27","0.27",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","Greece","6.3 [2.8-11]","6.3","2.8","11",
