"DE","Year","Country","CO","Numeric"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Seychelles",,"1.8"
"Prevalence of tuberculosis (per 100 000 population)","2009","Comoros",,"63"
"Number of prevalent tuberculosis cases ","2008","Ecuador",,"19000"
"Number of prevalent tuberculosis cases ","2010","Samoa",,"53"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Fiji",,"2.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Belarus",,"9.6"
"Prevalence of tuberculosis (per 100 000 population)","2007","United States of America",,"6.7"
"Number of prevalent tuberculosis cases ","2009","Cyprus",,"89"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Guatemala",,"2.1"
"Number of prevalent tuberculosis cases ","2011","Republic of Korea",,"72000"
"Number of deaths due to tuberculosis excluding HIV","2010","Ireland",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Azerbaijan",,"4.2"
"Number of prevalent tuberculosis cases ","2010","Algeria",,"56000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Mali",,"9"
"Number of prevalent tuberculosis cases ","2012","Venezuela (Bolivarian Republic of)",,"15000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Philippines",,"24"
"Number of deaths due to tuberculosis excluding HIV","2011","Latvia",,"68"
"Prevalence of tuberculosis (per 100 000 population)","2011","Austria",,"13"
"Number of deaths due to tuberculosis excluding HIV","2009","Equatorial Guinea",,"0"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Israel",,"0.19"
"Number of deaths due to tuberculosis excluding HIV","2011","Lithuania",,"150"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Lesotho",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Gabon",,"59"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Argentina",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2012","Senegal",,"219"
"Number of deaths due to tuberculosis excluding HIV","2011","Yemen",,"1400"
"Number of deaths due to tuberculosis excluding HIV","2008","Portugal",,"160"
"Number of deaths due to tuberculosis excluding HIV","2009","Malta",,"0.94"
"Number of deaths due to tuberculosis excluding HIV","2008","Guinea-Bissau",,"360"
"Number of deaths due to tuberculosis excluding HIV","2010","Turkmenistan",,"600"
"Number of prevalent tuberculosis cases ","2009","Israel",,"500"
"Prevalence of tuberculosis (per 100 000 population)","2008","Latvia",,"70"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Dominican Republic",,"5.7"
"Number of prevalent tuberculosis cases ","2011","China",,"1400000"
"Number of prevalent tuberculosis cases ","2009","Philippines",,"480000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","United Kingdom",,"0.54"
"Number of prevalent tuberculosis cases ","2012","Barbados",,"5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Ecuador",,"3.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Uganda",,"13"
"Number of prevalent tuberculosis cases ","2012","Marshall Islands",,"570"
"Prevalence of tuberculosis (per 100 000 population)","2010","Ukraine",,"149"
"Number of prevalent tuberculosis cases ","2007","Benin",,"9200"
"Number of deaths due to tuberculosis excluding HIV","2011","Saint Vincent and the Grenadines",,"2.8"
"Number of deaths due to tuberculosis excluding HIV","2012","Kiribati",,"17"
"Prevalence of tuberculosis (per 100 000 population)","2011","Cabo Verde",,"248"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Jamaica",,"0.24"
"Number of prevalent tuberculosis cases ","2012","Guyana",,"1000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Indonesia",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Colombia",,"2.4"
"Prevalence of tuberculosis (per 100 000 population)","2011","Luxembourg",,"7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Trinidad and Tobago",,"1.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Timor-Leste",,"61"
"Number of prevalent tuberculosis cases ","2011","Republic of Moldova",,"8600"
"Number of prevalent tuberculosis cases ","2008","Libya",,"3100"
"Number of deaths due to tuberculosis excluding HIV","2009","Uganda",,"5800"
"Number of prevalent tuberculosis cases ","2007","Central African Republic",,"34000"
"Number of prevalent tuberculosis cases ","2008","Cabo Verde",,"1300"
"Number of prevalent tuberculosis cases ","2009","Guatemala",,"16000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Kiribati",,"455"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Morocco",,"9.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Myanmar",,"48"
"Prevalence of tuberculosis (per 100 000 population)","2011","Liberia",,"494"
"Number of deaths due to tuberculosis excluding HIV","2007","Saint Lucia",,"3.3"
"Prevalence of tuberculosis (per 100 000 population)","2008","Burundi",,"237"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Tuvalu",,"29"
"Number of deaths due to tuberculosis excluding HIV","2007","Barbados",,"2.7"
"Prevalence of tuberculosis (per 100 000 population)","2010","Lesotho",,"425"
"Prevalence of tuberculosis (per 100 000 population)","2012","Jordan",,"8.5"
"Prevalence of tuberculosis (per 100 000 population)","2012","Eritrea",,"152"
"Prevalence of tuberculosis (per 100 000 population)","2011","Zambia",,"379"
"Number of deaths due to tuberculosis excluding HIV","2008","Qatar",,"8.2"
"Number of prevalent tuberculosis cases ","2008","Poland",,"11000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Madagascar",,"477"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Cyprus",,"0.11"
"Number of deaths due to tuberculosis excluding HIV","2008","Bangladesh",,"70000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Japan",,"30"
"Number of deaths due to tuberculosis excluding HIV","2008","Samoa",,"5.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","C?te d'Ivoire",,"27"
"Number of prevalent tuberculosis cases ","2009","Australia",,"2100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Costa Rica",,"0.82"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Nepal",,"20"
"Number of deaths due to tuberculosis excluding HIV","2011","Kenya",,"8900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Tonga",,"2.8"
"Prevalence of tuberculosis (per 100 000 population)","2010","Fiji",,"45"
"Number of prevalent tuberculosis cases ","2011","Nauru",,"8.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Hungary",,"1"
"Number of prevalent tuberculosis cases ","2008","Morocco",,"41000"
"Number of deaths due to tuberculosis excluding HIV","2012","Cameroon",,"6400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Bahamas",,"0.43"
"Prevalence of tuberculosis (per 100 000 population)","2011","Belarus",,"107"
"Number of prevalent tuberculosis cases ","2008","Nepal",,"62000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Australia",,"0.19"
"Number of prevalent tuberculosis cases ","2011","Djibouti",,"7700"
"Number of prevalent tuberculosis cases ","2007","Azerbaijan",,"42000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Singapore",,"73"
"Number of prevalent tuberculosis cases ","2011","Thailand",,"110000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Poland",,"1.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","San Marino",,"0"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Andorra",,"0.34"
"Prevalence of tuberculosis (per 100 000 population)","2010","Spain",,"22"
"Number of prevalent tuberculosis cases ","2008","Iran (Islamic Republic of)",,"22000"
"Number of prevalent tuberculosis cases ","2012","Myanmar",,"260000"
"Number of deaths due to tuberculosis excluding HIV","2008","Kenya",,"8300"
"Number of deaths due to tuberculosis excluding HIV","2012","Niger",,"2800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Nepal",,"20"
"Prevalence of tuberculosis (per 100 000 population)","2012","Palau",,"65"
"Prevalence of tuberculosis (per 100 000 population)","2012","Estonia",,"29"
"Prevalence of tuberculosis (per 100 000 population)","2010","Bhutan",,"313"
"Number of prevalent tuberculosis cases ","2008","Egypt",,"24000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Colombia",,"49"
"Number of prevalent tuberculosis cases ","2008","Nauru",,"6.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Croatia",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Mauritius",,"1.3"
"Number of prevalent tuberculosis cases ","2012","South Sudan",,"28000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Dominican Republic",,"98"
"Number of prevalent tuberculosis cases ","2011","Seychelles",,"39"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","New Zealand",,"0.12"
"Number of deaths due to tuberculosis excluding HIV","2011","Iceland",,"0.91"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Nicaragua",,"3.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Panama",,"4.9"
"Number of prevalent tuberculosis cases ","2009","Estonia",,"550"
"Number of prevalent tuberculosis cases ","2009","Singapore",,"2300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Egypt",,"0.71"
"Number of prevalent tuberculosis cases ","2012","Uganda",,"64000"
"Number of deaths due to tuberculosis excluding HIV","2010","Czech Republic",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2010","Trinidad and Tobago",,"20"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Samoa",,"3.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Viet Nam",,"21"
"Prevalence of tuberculosis (per 100 000 population)","2012","Gabon",,"563"
"Prevalence of tuberculosis (per 100 000 population)","2007","Lebanon",,"16"
"Number of prevalent tuberculosis cases ","2012","Malta",,"69"
"Number of deaths due to tuberculosis excluding HIV","2008","Thailand",,"12000"
"Number of prevalent tuberculosis cases ","2008","Democratic People's Republic of Korea",,"120000"
"Number of prevalent tuberculosis cases ","2011","Norway",,"520"
"Number of deaths due to tuberculosis excluding HIV","2007","Honduras",,"250"
"Number of prevalent tuberculosis cases ","2009","Mexico",,"39000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Bahrain",,"44"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Cameroon",,"32"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Bahrain",,"0.44"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Maldives",,"2.3"
"Prevalence of tuberculosis (per 100 000 population)","2012","Myanmar",,"489"
"Number of deaths due to tuberculosis excluding HIV","2008","Belgium",,"50"
"Number of prevalent tuberculosis cases ","2012","Guatemala",,"17000"
"Number of prevalent tuberculosis cases ","2007","Lebanon",,"650"
"Prevalence of tuberculosis (per 100 000 population)","2008","Switzerland",,"9.3"
"Number of deaths due to tuberculosis excluding HIV","2012","Papua New Guinea",,"3900"
"Number of prevalent tuberculosis cases ","2012","Equatorial Guinea",,"1200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Croatia",,"2.8"
"Number of deaths due to tuberculosis excluding HIV","2009","Tajikistan",,"730"
"Number of prevalent tuberculosis cases ","2010","Central African Republic",,"28000"
"Number of deaths due to tuberculosis excluding HIV","2011","Argentina",,"550"
"Number of deaths due to tuberculosis excluding HIV","2009","Malaysia",,"1500"
"Number of prevalent tuberculosis cases ","2009","Malta",,"74"
"Prevalence of tuberculosis (per 100 000 population)","2011","Argentina",,"38"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Belgium",,"0.38"
"Prevalence of tuberculosis (per 100 000 population)","2009","Malaysia",,"116"
"Number of deaths due to tuberculosis excluding HIV","2007","Haiti",,"3200"
"Prevalence of tuberculosis (per 100 000 population)","2007","San Marino",,"1.8"
"Number of deaths due to tuberculosis excluding HIV","2012","Myanmar",,"25000"
"Number of prevalent tuberculosis cases ","2010","Georgia",,"8200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Uzbekistan",,"3.7"
"Prevalence of tuberculosis (per 100 000 population)","2011","Syrian Arab Republic",,"25"
"Number of prevalent tuberculosis cases ","2012","Greece",,"710"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Slovenia",,"0.97"
"Number of prevalent tuberculosis cases ","2011","Ghana",,"26000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Honduras",,"94"
"Number of prevalent tuberculosis cases ","2012","Niger",,"28000"
"Number of deaths due to tuberculosis excluding HIV","2007","Montenegro",,"8.1"
"Number of prevalent tuberculosis cases ","2008","Slovenia",,"350"
"Prevalence of tuberculosis (per 100 000 population)","2012","Mexico",,"33"
"Prevalence of tuberculosis (per 100 000 population)","2011","Democratic People's Republic of Korea",,"505"
"Number of deaths due to tuberculosis excluding HIV","2009","Cameroon",,"6500"
"Number of prevalent tuberculosis cases ","2011","Micronesia (Federated States of)",,"320"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Solomon Islands",,"19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Barbados",,"0.69"
"Prevalence of tuberculosis (per 100 000 population)","2011","Poland",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2008","Jamaica",,"9.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Marshall Islands",,"89"
"Number of deaths due to tuberculosis excluding HIV","2011","Uzbekistan",,"1100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Malaysia",,"5.4"
"Number of prevalent tuberculosis cases ","2010","Ireland",,"610"
"Number of deaths due to tuberculosis excluding HIV","2011","Slovenia",,"20"
"Number of prevalent tuberculosis cases ","2009","India",,"3400000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Argentina",,"1.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Armenia",,"6.3"
"Prevalence of tuberculosis (per 100 000 population)","2009","India",,"289"
"Number of prevalent tuberculosis cases ","2011","Mauritania",,"29000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Zambia",,"25"
"Prevalence of tuberculosis (per 100 000 population)","2009","Senegal",,"208"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Uganda",,"18"
"Prevalence of tuberculosis (per 100 000 population)","2007","Central African Republic",,"823"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Czech Republic",,"0.33"
"Prevalence of tuberculosis (per 100 000 population)","2012","Dominica",,"25"
"Prevalence of tuberculosis (per 100 000 population)","2007","Saint Lucia",,"13"
"Number of deaths due to tuberculosis excluding HIV","2008","Swaziland",,"420"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Slovenia",,"1.4"
"Number of prevalent tuberculosis cases ","2008","Germany",,"6100"
"Number of prevalent tuberculosis cases ","2011","Cabo Verde",,"1200"
"Number of prevalent tuberculosis cases ","2007","Saint Lucia",,"23"
"Prevalence of tuberculosis (per 100 000 population)","2007","Ukraine",,"158"
"Number of deaths due to tuberculosis excluding HIV","2009","Armenia",,"220"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Syrian Arab Republic",,"2.3"
"Number of deaths due to tuberculosis excluding HIV","2009","Indonesia",,"69000"
"Prevalence of tuberculosis (per 100 000 population)","2007","El Salvador",,"44"
"Prevalence of tuberculosis (per 100 000 population)","2009","Philippines",,"520"
"Number of deaths due to tuberculosis excluding HIV","2009","Guatemala",,"350"
"Number of deaths due to tuberculosis excluding HIV","2008","Bulgaria",,"230"
"Number of prevalent tuberculosis cases ","2009","Iraq",,"24000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Nigeria",,"22"
"Prevalence of tuberculosis (per 100 000 population)","2008","Portugal",,"37"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Ukraine",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Guatemala",,"2.5"
"Prevalence of tuberculosis (per 100 000 population)","2009","Rwanda",,"147"
"Prevalence of tuberculosis (per 100 000 population)","2008","Micronesia (Federated States of)",,"365"
"Prevalence of tuberculosis (per 100 000 population)","2010","Sierra Leone",,"1287"
"Number of deaths due to tuberculosis excluding HIV","2008","Iran (Islamic Republic of)",,"2000"
"Number of prevalent tuberculosis cases ","2008","Bosnia and Herzegovina",,"2400"
"Number of deaths due to tuberculosis excluding HIV","2008","Ghana",,"3200"
"Prevalence of tuberculosis (per 100 000 population)","2007","Ireland",,"16"
"Number of prevalent tuberculosis cases ","2008","Sweden",,"800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Djibouti",,"84"
"Number of prevalent tuberculosis cases ","2011","Russian Federation",,"190000"
"Number of deaths due to tuberculosis excluding HIV","2011","Bosnia and Herzegovina",,"200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Bosnia and Herzegovina",,"5.1"
"Number of prevalent tuberculosis cases ","2011","Mauritius",,"490"
"Prevalence of tuberculosis (per 100 000 population)","2009","Armenia",,"102"
"Number of deaths due to tuberculosis excluding HIV","2009","Niger",,"3000"
"Prevalence of tuberculosis (per 100 000 population)","2008","United Republic of Tanzania",,"201"
"Number of prevalent tuberculosis cases ","2012","New Zealand",,"470"
"Number of prevalent tuberculosis cases ","2007","Monaco",,"1.1"
"Number of deaths due to tuberculosis excluding HIV","2010","Algeria",,"5300"
"Number of deaths due to tuberculosis excluding HIV","2009","Rwanda",,"1400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Mexico",,"2.1"
"Prevalence of tuberculosis (per 100 000 population)","2007","Monaco",,"3.1"
"Number of prevalent tuberculosis cases ","2012","Cyprus",,"69"
"Number of prevalent tuberculosis cases ","2012","Belize",,"170"
"Number of deaths due to tuberculosis excluding HIV","2008","Micronesia (Federated States of)",,"40"
"Number of prevalent tuberculosis cases ","2008","Portugal",,"4000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Bosnia and Herzegovina",,"63"
"Number of deaths due to tuberculosis excluding HIV","2012","Dominica",,"1.4"
"Number of prevalent tuberculosis cases ","2010","Angola",,"80000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Poland",,"2.3"
"Number of prevalent tuberculosis cases ","2012","Denmark",,"560"
"Number of deaths due to tuberculosis excluding HIV","2007","Ireland",,"32"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Portugal",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Lebanon",,"1.2"
"Prevalence of tuberculosis (per 100 000 population)","2007","Turkmenistan",,"264"
"Number of deaths due to tuberculosis excluding HIV","2007","Turkmenistan",,"900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Lao People's Democratic Republic",,"13"
"Number of prevalent tuberculosis cases ","2011","Libya",,"3700"
"Number of prevalent tuberculosis cases ","2007","Democratic Republic of the Congo",,"320000"
"Number of prevalent tuberculosis cases ","2011","Congo",,"23000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Libya",,"61"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Papua New Guinea",,"54"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Ireland",,"0.61"
"Prevalence of tuberculosis (per 100 000 population)","2010","Algeria",,"151"
"Prevalence of tuberculosis (per 100 000 population)","2012","Cyprus",,"6.1"
"Prevalence of tuberculosis (per 100 000 population)","2008","Bolivia (Plurinational State of)",,"240"
"Prevalence of tuberculosis (per 100 000 population)","2008","Lithuania",,"113"
"Number of prevalent tuberculosis cases ","2009","Mali",,"13000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","United States of America",,"0.2"
"Prevalence of tuberculosis (per 100 000 population)","2008","Ecuador",,"128"
"Number of prevalent tuberculosis cases ","2012","Brunei Darussalam",,"370"
"Prevalence of tuberculosis (per 100 000 population)","2012","Brunei Darussalam",,"90"
"Number of prevalent tuberculosis cases ","2010","Saudi Arabia",,"7700"
"Number of deaths due to tuberculosis excluding HIV","2010","Democratic Republic of the Congo",,"33000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Mauritius",,"40"
"Number of deaths due to tuberculosis excluding HIV","2008","Nauru",,"0.46"
"Number of prevalent tuberculosis cases ","2012","Honduras",,"6500"
"Number of deaths due to tuberculosis excluding HIV","2007","Georgia",,"170"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Georgia",,"3.8"
"Number of prevalent tuberculosis cases ","2007","Togo",,"5900"
"Number of prevalent tuberculosis cases ","2008","United Republic of Tanzania",,"85000"
"Number of deaths due to tuberculosis excluding HIV","2007","Czech Republic",,"66"
"Number of deaths due to tuberculosis excluding HIV","2010","Saint Lucia",,"2.5"
"Number of prevalent tuberculosis cases ","2012","Haiti",,"30000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Greece",,"0.69"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Myanmar",,"53"
"Number of prevalent tuberculosis cases ","2010","Benin",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Panama",,"6.5"
"Prevalence of tuberculosis (per 100 000 population)","2009","Greece",,"9"
"Number of prevalent tuberculosis cases ","2012","Costa Rica",,"600"
"Number of prevalent tuberculosis cases ","2008","Liberia",,"18000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Senegal",,"20"
"Number of deaths due to tuberculosis excluding HIV","2012","Senegal",,"2700"
"Prevalence of tuberculosis (per 100 000 population)","2007","Nigeria",,"261"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","India",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Eritrea",,"5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Central African Republic",,"59"
"Number of deaths due to tuberculosis excluding HIV","2012","Iraq",,"960"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Azerbaijan",,"4.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Turkmenistan",,"12"
"Number of deaths due to tuberculosis excluding HIV","2007","Azerbaijan",,"370"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Malta",,"0.22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Saint Lucia",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Bhutan",,"15"
"Number of deaths due to tuberculosis excluding HIV","2012","Comoros",,"45"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Bolivia (Plurinational State of)",,"21"
"Number of prevalent tuberculosis cases ","2008","Luxembourg",,"39"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Equatorial Guinea",,"0"
"Number of deaths due to tuberculosis excluding HIV","2012","Mali",,"1300"
"Prevalence of tuberculosis (per 100 000 population)","2011","United Kingdom",,"20"
"Number of prevalent tuberculosis cases ","2011","Austria",,"1100"
"Prevalence of tuberculosis (per 100 000 population)","2011","Saint Vincent and the Grenadines",,"29"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Nauru",,"4.6"
"Number of deaths due to tuberculosis excluding HIV","2008","Morocco",,"3200"
"Number of deaths due to tuberculosis excluding HIV","2011","Germany",,"290"
"Number of deaths due to tuberculosis excluding HIV","2008","Ecuador",,"850"
"Number of deaths due to tuberculosis excluding HIV","2008","Colombia",,"1100"
"Number of prevalent tuberculosis cases ","2010","Sudan",,"96000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Turkey",,"0.9"
"Number of prevalent tuberculosis cases ","2009","Senegal",,"26000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Indonesia",,"315"
"Prevalence of tuberculosis (per 100 000 population)","2007","Montenegro",,"34"
"Prevalence of tuberculosis (per 100 000 population)","2012","Comoros",,"62"
"Number of deaths due to tuberculosis excluding HIV","2011","United Kingdom",,"340"
"Number of prevalent tuberculosis cases ","2008","United Kingdom",,"12000"
"Number of deaths due to tuberculosis excluding HIV","2008","Lithuania",,"340"
"Prevalence of tuberculosis (per 100 000 population)","2012","Mali",,"92"
"Prevalence of tuberculosis (per 100 000 population)","2008","Germany",,"7.3"
"Prevalence of tuberculosis (per 100 000 population)","2011","Nepal",,"236"
"Number of deaths due to tuberculosis excluding HIV","2010","Cook Islands",,"0.08"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Barbados",,"0.96"
"Prevalence of tuberculosis (per 100 000 population)","2010","Cook Islands",,"6"
"Prevalence of tuberculosis (per 100 000 population)","2009","C?te d'Ivoire",,"294"
"Number of prevalent tuberculosis cases ","2010","Lesotho",,"8500"
"Number of deaths due to tuberculosis excluding HIV","2012","Jordan",,"37"
"Prevalence of tuberculosis (per 100 000 population)","2007","Spain",,"24"
"Number of prevalent tuberculosis cases ","2008","Qatar",,"1000"
"Number of prevalent tuberculosis cases ","2007","Spain",,"11000"
"Number of deaths due to tuberculosis excluding HIV","2011","Zambia",,"3400"
"Number of deaths due to tuberculosis excluding HIV","2011","Bahamas",,"1.6"
"Number of prevalent tuberculosis cases ","2011","Chad",,"28000"
"Number of deaths due to tuberculosis excluding HIV","2010","Suriname",,"14"
"Number of deaths due to tuberculosis excluding HIV","2011","Pakistan",,"62000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Jordan",,"0.53"
"Prevalence of tuberculosis (per 100 000 population)","2008","Tuvalu",,"315"
"Number of deaths due to tuberculosis excluding HIV","2008","Poland",,"870"
"Number of prevalent tuberculosis cases ","2008","Pakistan",,"700000"
"Number of deaths due to tuberculosis excluding HIV","2008","Angola",,"5300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Kenya",,"21"
"Number of prevalent tuberculosis cases ","2010","Fiji",,"390"
"Number of deaths due to tuberculosis excluding HIV","2008","Syrian Arab Republic",,"470"
"Prevalence of tuberculosis (per 100 000 population)","2011","Pakistan",,"381"
"Prevalence of tuberculosis (per 100 000 population)","2011","South Sudan",,"268"
"Number of prevalent tuberculosis cases ","2008","Madagascar",,"95000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Suriname",,"2.6"
"Number of deaths due to tuberculosis excluding HIV","2009","C?te d'Ivoire",,"5100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Timor-Leste",,"74"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Italy",,"0.56"
"Number of prevalent tuberculosis cases ","2008","Montenegro",,"210"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Samoa",,"2.8"
"Number of deaths due to tuberculosis excluding HIV","2007","Romania",,"1600"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Tuvalu",,"12"
"Number of prevalent tuberculosis cases ","2011","Yemen",,"17000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Madagascar",,"452"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Bangladesh",,"46"
"Number of prevalent tuberculosis cases ","2009","Jordan",,"560"
"Prevalence of tuberculosis (per 100 000 population)","2007","Czech Republic",,"12"
"Number of prevalent tuberculosis cases ","2008","Viet Nam",,"220000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Dominican Republic",,"113"
